Timestamp,Name,Action,Status,Image_Path,Confidence
2025-11-21 00:23:50,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:23:53,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:23:55,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:23:58,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:01,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:03,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:06,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:09,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:11,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:14,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:16,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:19,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:21,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:24,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:27,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:28,k,SLEEPING,ALERT,N/A,0.27
2025-11-21 00:24:29,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:32,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:34,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:37,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:38,k,SLEEPING,ALERT,N/A,0.27
2025-11-21 00:24:40,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:42,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:45,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:47,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:50,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:52,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
2025-11-21 00:24:55,k,TIMEOUT,ALERT TRIGGERED,N/A,0.0
