user_id,movie_id,timestamp
1,280690,2025-10-13 11:04:20
1,21175,2025-10-13 11:05:44
2,41517,2025-10-13 11:18:13
1,250551,2025-10-13 11:28:57
1,259720,2025-10-13 11:30:06
1,1029281,2025-10-13 11:33:25
1,605722,2025-10-13 11:35:15
1,639720,2025-10-13 11:36:43
1,828,2025-10-13 11:37:55
1,767825,2025-10-13 11:39:46
3,41517,2025-10-13 12:13:37
3,85985,2025-10-13 12:13:52
3,25516,2025-10-13 12:13:56
3,596650,2025-10-13 12:15:35
3,1134055,2025-10-13 12:17:14
1,303867,2025-11-10 11:56:57
1,464593,2025-11-10 11:58:41
1,784651,2025-11-10 11:59:23
1,314389,2025-11-10 11:59:31
1,377985,2025-11-10 11:59:46
1,615777,2025-11-10 13:00:52
1,465642,2025-11-10 13:01:39
1,607430,2025-11-10 13:18:07
1,607430,2025-11-10 13:18:36
1,416494,2025-11-10 13:19:23
1,597089,2025-11-10 13:20:34
1,323517,2025-11-10 13:21:02
1,398535,2025-11-10 13:21:24
1,779047,2025-11-10 13:41:53
1,1241634,2025-11-10 13:42:45
1,496076,2025-11-10 13:43:05
1,518497,2025-11-10 13:43:14
1,596650,2025-11-10 13:43:40
1,1163194,2025-11-10 13:43:47
1,374173,2025-11-10 14:02:44
1,374173,2025-11-10 14:03:15
1,338065,2025-11-10 14:03:44
1,369523,2025-11-10 14:19:44
1,470918,2025-11-10 14:20:27
1,270303,2025-11-10 14:21:24
1,639720,2025-11-10 14:22:11
1,818750,2025-11-10 14:29:00
1,1242011,2025-11-10 14:29:37
1,506281,2025-11-10 14:29:49
1,506281,2025-11-10 14:30:12
1,1160018,2025-11-10 14:31:26
1,781732,2025-11-10 14:31:34
1,799155,2025-11-29 13:33:10
1,592508,2025-11-29 13:33:22
1,592508,2025-11-29 13:33:26
1,1232493,2025-11-30 19:17:27
1,1058694,2025-11-30 19:18:15
